from,to,strength,tier
me,p1_01_ben,6,platform_similarity
me,p1_02_zane,6,platform_similarity
me,p1_03_esme,6,platform_similarity
me,p1_04_tariq,11,direct
me,p1_05_xiu,11,direct
me,p1_06_milan,6,platform_similarity
me,p1_07_tariq,11,direct
me,p1_08_imani,6,platform_similarity
me,p1_09_jules,6,platform_similarity
me,p1_10_bruno,6,platform_similarity
me,p1_11_orla,6,platform_similarity
me,p1_12_jaspar,11,direct
me,p2_07_yara,6,platform_similarity
me,p2_09_giulia,6,platform_similarity
p1_01_ben,p1_03_esme,11,direct
p1_01_ben,p1_10_bruno,6,platform_similarity
p1_01_ben,p2_05_uriel,6,platform_similarity
p1_01_ben,p2_23_vera,6,platform_similarity
p1_02_zane,p2_09_giulia,5,platform_similarity
p1_02_zane,p2_16_elena,6,platform_similarity
p1_03_esme,p2_16_elena,11,direct
p1_03_esme,p2_24_niko,10,direct
p1_04_tariq,p2_07_yara,6,platform_similarity
p1_04_tariq,p2_21_raj,6,platform_similarity
p1_05_xiu,p1_08_imani,5,platform_similarity
p1_05_xiu,p1_11_orla,6,platform_similarity
p1_05_xiu,p2_01_orla,5,platform_similarity
p1_05_xiu,p2_05_uriel,5,platform_similarity
p1_05_xiu,p2_19_theo,10,platform_similarity
p1_06_milan,p2_09_giulia,5,platform_similarity
p1_06_milan,p2_14_imani,6,platform_similarity
p1_06_milan,p2_16_elena,6,platform_similarity
p1_07_tariq,p2_14_imani,11,direct
p1_07_tariq,p2_18_carlo,5,platform_similarity
p1_08_imani,p1_11_orla,6,platform_similarity
p1_08_imani,p2_01_orla,5,platform_similarity
p1_08_imani,p2_09_giulia,5,platform_similarity
p1_08_imani,p2_14_imani,6,platform_similarity
p1_09_jules,p2_06_ben,5,platform_similarity
p1_09_jules,p2_17_lara,5,platform_similarity
p1_10_bruno,p2_04_ximena,13,direct
p1_10_bruno,p2_15_ishaan,6,platform_similarity
p1_10_bruno,p2_16_elena,11,direct
p1_10_bruno,p2_18_carlo,6,platform_similarity
p1_11_orla,p2_04_ximena,13,direct
p1_11_orla,p2_09_giulia,11,direct
p1_11_orla,p2_21_raj,6,platform_similarity
p1_11_orla,p2_23_vera,11,direct
p1_12_jaspar,p2_02_yara,8,platform_similarity
p1_12_jaspar,p2_10_vik,6,platform_similarity
p1_12_jaspar,p2_16_elena,6,platform_similarity
p1_12_jaspar,p2_19_theo,10,platform_similarity
p2_01_orla,p2_07_yara,11,direct
p2_01_orla,p2_18_carlo,5,platform_similarity
p2_01_orla,p3_04_raj,5,platform_similarity
p2_01_orla,p3_17_sana,10,direct
p2_02_yara,p3_01_uriel,8,platform_similarity
p2_02_yara,p3_03_lara,8,platform_similarity
p2_02_yara,p3_14_quinn,8,platform_similarity
p2_03_chen,p2_08_nora,5,platform_similarity
p2_03_chen,p3_16_leon,5,platform_similarity
p2_04_ximena,p3_02_carlo,8,platform_similarity
p2_04_ximena,p3_15_wyatt,13,direct
p2_05_uriel,p3_01_uriel,6,platform_similarity
p2_05_uriel,p3_08_ben,5,platform_similarity
p2_06_ben,p2_24_niko,5,platform_similarity
p2_06_ben,p3_01_uriel,11,direct
p2_06_ben,p3_08_ben,5,platform_similarity
p2_06_ben,p3_15_wyatt,5,platform_similarity
p2_07_yara,p2_15_ishaan,6,platform_similarity
p2_07_yara,p3_04_raj,6,platform_similarity
p2_07_yara,p3_12_nora,6,platform_similarity
p2_07_yara,p3_18_hassan,11,direct
p2_08_nora,p3_06_elena,10,platform_similarity
p2_09_giulia,p3_12_nora,5,platform_similarity
p2_10_vik,p2_14_imani,6,platform_similarity
p2_10_vik,p3_03_lara,6,platform_similarity
p2_10_vik,p3_08_ben,11,direct
p2_11_priya,p2_15_ishaan,6,platform_similarity
p2_11_priya,p3_02_carlo,10,direct
p2_11_priya,p3_08_ben,10,direct
p2_12_farah,p2_14_imani,6,platform_similarity
p2_12_farah,p2_19_theo,10,platform_similarity
p2_12_farah,p3_08_ben,11,direct
p2_12_farah,p3_11_priya,6,platform_similarity
p2_13_esme,p3_11_priya,5,platform_similarity
p2_13_esme,p3_16_leon,5,platform_similarity
