from,to,strength,tier
fc_1,fc_3,8,mutual
fc_1,fc_191,8,mutual
fc_1,fc_1568,8,mutual
fc_1,fc_20603,8,mutual
fc_1,fc_489795,8,mutual
fc_1,fc_1011461,8,mutual
fc_1,fc_1251272,8,mutual
fc_2,fc_228109,8,mutual
fc_2,fc_876478,8,mutual
fc_3,fc_239,8,mutual
fc_8,fc_6131,8,mutual
fc_8,fc_17635,8,mutual
fc_9,fc_9635,8,mutual
fc_16,fc_6043,8,mutual
fc_16,fc_18413,8,mutual
fc_17,fc_10143,8,mutual
fc_17,fc_347050,8,mutual
fc_17,fc_375245,8,mutual
fc_17,fc_822494,8,mutual
fc_17,fc_876478,8,mutual
fc_17,fc_1007423,8,mutual
fc_17,fc_1075107,8,mutual
fc_18,fc_3860,8,mutual
fc_18,fc_313009,8,mutual
fc_18,fc_500245,8,mutual
fc_20,fc_130,8,mutual
fc_20,fc_271,8,mutual
fc_20,fc_9650,8,mutual
fc_20,fc_21773,8,mutual
fc_20,fc_1624622,8,mutual
fc_20,fc_1948008,8,mutual
fc_21,fc_1606,8,mutual
fc_21,fc_9581,8,mutual
fc_21,fc_12152,8,mutual
fc_28,fc_283189,8,mutual
fc_28,fc_940034,8,mutual
fc_37,fc_1019542,8,mutual
fc_38,fc_12949,8,mutual
fc_38,fc_210628,8,mutual
fc_43,fc_72,8,mutual
fc_44,fc_8131,8,mutual
fc_51,fc_584,8,mutual
fc_51,fc_934,8,mutual
fc_51,fc_1869,8,mutual
fc_51,fc_1878,8,mutual
fc_51,fc_1930,8,mutual
fc_51,fc_1937,8,mutual
fc_51,fc_2026,8,mutual
fc_51,fc_2054,8,mutual
fc_51,fc_2120,8,mutual
fc_52,fc_54,8,mutual
fc_52,fc_106,8,mutual
fc_52,fc_7596,8,mutual
fc_56,fc_1047101,8,mutual
fc_59,fc_5451,8,mutual
fc_59,fc_7535,8,mutual
fc_59,fc_20258,8,mutual
fc_59,fc_1105923,8,mutual
fc_60,fc_1106293,8,mutual
fc_60,fc_1115959,8,mutual
fc_60,fc_1140014,8,mutual
fc_66,fc_611,8,mutual
fc_66,fc_966,8,mutual
fc_66,fc_2521,8,mutual
fc_66,fc_4473,8,mutual
fc_66,fc_388391,8,mutual
fc_66,fc_466482,8,mutual
fc_66,fc_1140014,8,mutual
fc_66,fc_2428169,8,mutual
fc_72,fc_1624622,8,mutual
fc_73,fc_1016376,8,mutual
fc_75,fc_10259,8,mutual
fc_81,fc_271,8,mutual
fc_81,fc_7074,8,mutual
fc_81,fc_13033,8,mutual
fc_83,fc_171,8,mutual
fc_88,fc_623,8,mutual
fc_88,fc_313009,8,mutual
fc_97,fc_137,8,mutual
fc_99,fc_886870,8,mutual
fc_99,fc_1314209,8,mutual
fc_106,fc_171,8,mutual
fc_124,fc_16340,8,mutual
fc_129,fc_14467,8,mutual
fc_129,fc_18438,8,mutual
fc_129,fc_19777,8,mutual
fc_129,fc_215231,8,mutual
fc_129,fc_238463,8,mutual
fc_129,fc_1435260,8,mutual
fc_133,fc_352723,8,mutual
fc_133,fc_378813,8,mutual
fc_133,fc_883930,8,mutual
fc_134,fc_330642,8,mutual
fc_138,fc_426,8,mutual
fc_138,fc_8131,8,mutual
fc_142,fc_1693,8,mutual
fc_142,fc_3441,8,mutual
fc_142,fc_3703,8,mutual
fc_142,fc_6048,8,mutual
fc_142,fc_18085,8,mutual
