person_id,twitter,farcaster,linkedin,debank,twitter_followers,farcaster_followers,linkedin_connections,debank_followers,last_interaction,interaction_score
fc_1,,@farcaster,,,0,46896,0,0,2026-04-22,0
fc_2,,@v,,,0,262535,0,0,2026-04-22,0
fc_3,,,,,0,0,0,0,2026-04-22,0
fc_4,,@noah,,,0,806,0,0,2026-04-22,0
fc_6,,@libovness,,,0,1112,0,0,2026-04-22,0
fc_8,,@jacob,,,0,264313,0,0,2026-04-22,0
fc_9,,@b-rad,,,0,1286,0,0,2026-04-22,0
fc_12,,@linda,,,0,251231,0,0,2026-04-22,0
fc_16,,@zosegal,,,0,2099,0,0,2026-04-22,0
fc_17,,@sds,,,0,18796,0,0,2026-04-22,0
fc_18,,@todd,,,0,166493,0,0,2026-04-22,0
fc_19,,@julia,,,0,1652,0,0,2026-04-22,0
fc_20,,@barmstrong,,,0,79899,0,0,2026-04-22,0
fc_21,,@shilpa,,,0,854,0,0,2026-04-22,0
fc_25,,@cdixon.eth,,,0,111228,0,0,2026-04-22,0
fc_28,,@alok,,,0,109958,0,0,2026-04-22,0
fc_34,,@matthuang,,,0,16148,0,0,2026-04-22,0
fc_37,,@balajis.eth,,,0,173220,0,0,2026-04-22,0
fc_38,,@bobby,,,0,621,0,0,2026-04-22,0
fc_43,,@sriramk.eth,,,0,115133,0,0,2026-04-22,0
fc_44,,@guy,,,0,985,0,0,2026-04-22,0
fc_46,,@darenmatsuoka,,,0,872,0,0,2026-04-22,0
fc_51,,@pmarca,,,0,12368,0,0,2026-04-22,0
fc_52,,@sinahab,,,0,2102,0,0,2026-04-22,0
fc_53,,@antonio,,,0,43724,0,0,2026-04-22,0
fc_54,,@lsankar.eth,,,0,160493,0,0,2026-04-22,0
fc_56,,@dcposch.eth,,,0,251098,0,0,2026-04-22,0
fc_58,,@literature,,,0,3955,0,0,2026-04-22,0
fc_59,,@henri,,,0,10120,0,0,2026-04-22,0
fc_60,,@brenner,,,0,85508,0,0,2026-04-22,0
fc_62,,@zoink,,,0,1716,0,0,2026-04-22,0
fc_65,,@faraaz,,,0,869,0,0,2026-04-22,0
fc_66,,@tayyab,,,0,106824,0,0,2026-04-22,0
fc_71,,@arjun,,,0,25598,0,0,2026-04-22,0
fc_72,,@garrytan,,,0,6539,0,0,2026-04-22,0
fc_73,,@shawki,,,0,74533,0,0,2026-04-22,0
fc_75,,@osama,,,0,6680,0,0,2026-04-22,0
fc_80,,@liam.eth,,,0,172492,0,0,2026-04-22,0
fc_81,,@3lau,,,0,10220,0,0,2026-04-22,0
fc_83,,@gaby,,,0,19786,0,0,2026-04-22,0
fc_88,,@worm,,,0,31060,0,0,2026-04-22,0
fc_97,,@nic,,,0,2163,0,0,2026-04-22,0
fc_99,,@jesse.base.eth,,,0,361285,0,0,2026-04-22,0
fc_101,,@yitong,,,0,137006,0,0,2026-04-22,0
fc_106,,@jackson,,,0,53273,0,0,2026-04-22,0
fc_108,,@nick,,,0,57897,0,0,2026-04-22,0
fc_113,,@naval,,,0,938,0,0,2026-04-22,0
fc_114,,@jihad,,,0,7814,0,0,2026-04-22,0
fc_124,,@giu,,,0,179668,0,0,2026-04-22,0
fc_125,,@mg,,,0,23118,0,0,2026-04-22,0
fc_129,,@phil,,,0,266933,0,0,2026-04-22,0
fc_130,,@stammy,,,0,849,0,0,2026-04-22,0
fc_132,,@ryanshea.eth,,,0,52465,0,0,2026-04-22,0
fc_133,,@nir,,,0,27571,0,0,2026-04-22,0
fc_134,,@scharf,,,0,76771,0,0,2026-04-22,0
fc_137,,@zebulgar,,,0,630,0,0,2026-04-22,0
fc_138,,@mdudas,,,0,1319,0,0,2026-04-22,0
fc_142,,@w,,,0,11103,0,0,2026-04-22,0
fc_143,,@mk,,,0,46258,0,0,2026-04-22,0
fc_145,,@nickcherry,,,0,7561,0,0,2026-04-22,0
fc_154,,@nayafia,,,0,280,0,0,2026-04-22,0
fc_155,,@will,,,0,4193,0,0,2026-04-22,0
fc_159,,@jasoncrawford.eth,,,0,2661,0,0,2026-04-22,0
fc_160,,@jack,,,0,72834,0,0,2026-04-22,0
fc_162,,@kostas,,,0,25718,0,0,2026-04-22,0
fc_165,,@ludo,,,0,19360,0,0,2026-04-22,0
fc_167,,@vicc,,,0,867,0,0,2026-04-22,0
fc_168,,@nickgrossman.eth,,,0,2479,0,0,2026-04-22,0
fc_169,,@fredwilson.eth,,,0,43912,0,0,2026-04-22,0
fc_171,,@mhd,,,0,156,0,0,2026-04-22,0
fc_177,,@jasper,,,0,1343,0,0,2026-04-22,0
fc_189,,@abram,,,0,2886,0,0,2026-04-22,0
fc_191,,@manan,,,0,124667,0,0,2026-04-22,0
fc_192,,@tome,,,0,92,0,0,2026-04-22,0
fc_193,,@derek,,,0,21634,0,0,2026-04-22,0
fc_194,,@rish,,,0,144853,0,0,2026-04-22,0
fc_199,,@rahul,,,0,302,0,0,2026-04-22,0
fc_203,,@nadia,,,0,308,0,0,2026-04-22,0
fc_206,,@coopahtroopa.eth,,,0,261526,0,0,2026-04-22,0
fc_207,,@tim,,,0,252271,0,0,2026-04-22,0
fc_220,,@jonathan,,,0,311,0,0,2026-04-22,0
fc_222,,@akashgarg,,,0,622,0,0,2026-04-22,0
fc_225,,@goose,,,0,30795,0,0,2026-04-22,0
fc_234,,@c,,,0,1022,0,0,2026-04-22,0
fc_237,,@cat,,,0,873,0,0,2026-04-22,0
fc_238,,@hyperbad,,,0,2530,0,0,2026-04-22,0
fc_239,,@ted,,,0,242479,0,0,2026-04-22,0
fc_241,,@dan,,,0,576,0,0,2026-04-22,0
fc_246,,@shaggarwal,,,0,303,0,0,2026-04-22,0
fc_250,,@inkymaze,,,0,79,0,0,2026-04-22,0
fc_260,,@yekim,,,0,7116,0,0,2026-04-22,0
fc_271,,@joshbuckley,,,0,597,0,0,2026-04-22,0
fc_274,,@n,,,0,68461,0,0,2026-04-22,0
fc_276,,@markus,,,0,24736,0,0,2026-04-22,0
fc_280,,@vrypan.eth,,,0,29766,0,0,2026-04-22,0
fc_283,,@hyper,,,0,128125,0,0,2026-04-22,0
fc_285,,@uno,,,0,311,0,0,2026-04-22,0
fc_295,,@wagmiking,,,0,450,0,0,2026-04-22,0
fc_296,,@zd,,,0,3874,0,0,2026-04-22,0
fc_299,,@stout,,,0,865,0,0,2026-04-22,0
fc_302,,@gt,,,0,20928,0,0,2026-04-22,0
fc_303,,@kyle,,,0,174151,0,0,2026-04-22,0
fc_305,,@brennen,,,0,1299,0,0,2026-04-22,0
fc_307,,@k,,,0,270,0,0,2026-04-22,0
fc_311,,@bgrill.eth,,,0,25508,0,0,2026-04-22,0
fc_312,,@les,,,0,47577,0,0,2026-04-22,0
fc_313,,@pontus,,,0,399,0,0,2026-04-22,0
fc_325,,@vm,,,0,57472,0,0,2026-04-22,0
fc_347,,@greg,,,0,260904,0,0,2026-04-22,0
fc_350,,@steph,,,0,50858,0,0,2026-04-22,0
fc_354,,@bob,,,0,1762,0,0,2026-04-22,0
fc_357,,@akim,,,0,153,0,0,2026-04-22,0
fc_358,,@corbin.eth,,,0,85797,0,0,2026-04-22,0
fc_359,,@pushix,,,0,126098,0,0,2026-04-22,0
fc_368,,@0xstark.eth,,,0,199815,0,0,2026-04-22,0
fc_369,,@robin,,,0,150764,0,0,2026-04-22,0
fc_372,,@irrationaljared,,,0,141,0,0,2026-04-22,0
fc_373,,@jayme,,,0,83766,0,0,2026-04-22,0
fc_375,,@shanemac.eth,,,0,3842,0,0,2026-04-22,0
fc_377,,@srijan.eth,,,0,8898,0,0,2026-04-22,0
fc_378,,@colin,,,0,186970,0,0,2026-04-22,0
fc_379,,@blockchainbrett,,,0,1091,0,0,2026-04-22,0
fc_380,,@jai,,,0,225,0,0,2026-04-22,0
fc_389,,@delronde.eth,,,0,627,0,0,2026-04-22,0
fc_399,,@chad,,,0,1867,0,0,2026-04-22,0
fc_409,,@div,,,0,6395,0,0,2026-04-22,0
fc_412,,@joeblau,,,0,28519,0,0,2026-04-22,0
fc_419,,@prasanna,,,0,948,0,0,2026-04-22,0
fc_426,,@brianjckim,,,0,76064,0,0,2026-04-22,0
