from,to,strength,tier
tw_148745060,tw_310741786,8,mutual
tw_173732041,tw_194403468,8,mutual
tw_21556678,tw_45561740,8,mutual
tw_210162496,tw_21549924,8,mutual
tw_20273398,tw_306472866,8,mutual
tw_19040580,tw_7860742,8,mutual
tw_21970278,tw_94480069,8,mutual
tw_15281911,tw_59775073,8,mutual
tw_123371682,tw_200559228,8,mutual
tw_188186842,tw_92319025,8,mutual
tw_14506809,tw_38514229,8,mutual
tw_11361262,tw_37570179,8,mutual
tw_17346342,tw_43355400,8,mutual
tw_25837866,tw_755431,8,mutual
tw_145910123,tw_307721313,8,mutual
tw_387237264,tw_446010132,8,mutual
tw_271515500,tw_284745621,8,mutual
tw_15066760,tw_8329582,8,mutual
tw_216001584,tw_221829166,8,mutual
tw_134943586,tw_7384432,8,mutual
tw_14471778,tw_61475880,8,mutual
tw_128522006,tw_175479505,8,mutual
tw_17426710,tw_95164862,8,mutual
tw_143169862,tw_160267464,8,mutual
tw_146967448,tw_221752062,8,mutual
tw_228198725,tw_259445045,8,mutual
tw_200212364,tw_45416789,8,mutual
tw_200017282,tw_95297220,8,mutual
tw_33868543,tw_63485337,8,mutual
tw_211428838,tw_283762107,8,mutual
tw_15653423,tw_64824726,8,mutual
tw_16895140,tw_61170034,8,mutual
tw_16464746,tw_72915249,8,mutual
tw_15488968,tw_195934431,8,mutual
tw_105880821,tw_14224219,8,mutual
tw_13434622,tw_813286,8,mutual
tw_155951259,tw_175495158,8,mutual
tw_11113,tw_1305941,8,mutual
tw_282399145,tw_350978314,8,mutual
tw_1249431,tw_5906322,8,mutual
tw_15252359,tw_21614669,8,mutual
tw_145129229,tw_21870651,8,mutual
tw_15222083,tw_23843220,8,mutual
tw_14426048,tw_657863,8,mutual
tw_17224642,tw_21554226,8,mutual
tw_19358562,tw_92336981,8,mutual
tw_426907745,tw_446783544,8,mutual
tw_21796819,tw_6210882,8,mutual
tw_14515799,tw_19086456,8,mutual
tw_124528830,tw_229039814,8,mutual
tw_21380640,tw_342362815,8,mutual
tw_143169862,tw_214117797,8,mutual
tw_15154217,tw_22831657,8,mutual
tw_182033179,tw_28301551,8,mutual
tw_165436952,tw_236184723,8,mutual
tw_19086456,tw_50360181,8,mutual
tw_54546430,tw_9109712,8,mutual
tw_22715267,tw_28482819,8,mutual
tw_194939391,tw_335006084,8,mutual
tw_17023344,tw_815994,8,mutual
tw_1072591,tw_36198161,8,mutual
tw_111330891,tw_207198670,8,mutual
tw_239144776,tw_265498278,8,mutual
tw_131601987,tw_34068984,8,mutual
tw_21315721,tw_23173615,8,mutual
tw_147665130,tw_166811519,8,mutual
tw_15350768,tw_16453996,8,mutual
tw_276577539,tw_277649366,8,mutual
tw_10545,tw_22253,8,mutual
tw_17073,tw_63253045,8,mutual
tw_15435220,tw_4893411,8,mutual
tw_10935622,tw_2659631,8,mutual
tw_13317162,tw_22784458,8,mutual
tw_173732041,tw_336141383,8,mutual
tw_36198161,tw_6080022,8,mutual
tw_132543607,tw_154544941,8,mutual
tw_16120265,tw_930061,8,mutual
tw_18581803,tw_9431932,8,mutual
tw_166212191,tw_63617454,8,mutual
tw_215180009,tw_65537597,8,mutual
tw_225444667,tw_302847930,8,mutual
tw_1504011,tw_78453,8,mutual
tw_17922109,tw_19087813,8,mutual
tw_16112634,tw_374936497,8,mutual
tw_14348594,tw_5611152,8,mutual
tw_156686588,tw_66056460,8,mutual
tw_15638249,tw_22981846,8,mutual
tw_143244854,tw_18713254,8,mutual
tw_26280712,tw_48485771,8,mutual
tw_15222083,tw_36311369,8,mutual
tw_119706155,tw_211872153,8,mutual
tw_105895378,tw_281159810,8,mutual
tw_280365428,tw_43837009,8,mutual
tw_15169196,tw_7846,8,mutual
tw_22841103,tw_3096071,8,mutual
tw_27724827,tw_7702232,8,mutual
tw_128559307,tw_27412774,8,mutual
tw_314316607,tw_406628822,8,mutual
tw_162442852,tw_43287595,8,mutual
tw_23822446,tw_47161442,8,mutual
tw_285359479,tw_76106023,8,mutual
tw_314316607,tw_430268163,8,mutual
tw_202387543,tw_230891041,8,mutual
tw_51536547,tw_68668098,8,mutual
tw_368456347,tw_459633467,8,mutual
tw_16098603,tw_170729553,8,mutual
tw_16247469,tw_16626187,8,mutual
tw_132543607,tw_496438192,8,mutual
tw_60970625,tw_82493862,8,mutual
tw_13012632,tw_14773982,8,mutual
tw_16048740,tw_22273748,8,mutual
tw_379644023,tw_397633666,8,mutual
tw_50499213,tw_8312422,8,mutual
tw_359811125,tw_451250774,8,mutual
tw_16542981,tw_88974169,8,mutual
tw_34104616,tw_34701524,8,mutual
tw_30109507,tw_39097715,8,mutual
tw_320140485,tw_332577132,8,mutual
tw_123715869,tw_228837973,8,mutual
tw_15717287,tw_16089052,8,mutual
tw_72818790,tw_86221475,8,mutual
tw_354105472,tw_357740963,8,mutual
tw_166811519,tw_202195505,8,mutual
tw_134246842,tw_134940306,8,mutual
tw_156176094,tw_40895538,8,mutual
tw_20397258,tw_265732976,8,mutual
tw_17759701,tw_42449717,8,mutual
tw_17025323,tw_1879831,8,mutual
tw_148745060,tw_259842341,8,mutual
tw_138003731,tw_42379291,8,mutual
tw_7861312,tw_930061,8,mutual
tw_23138959,tw_458940984,8,mutual
tw_184637153,tw_30957034,8,mutual
tw_18715024,tw_93905958,8,mutual
tw_14366976,tw_174853,8,mutual
tw_22556717,tw_248044499,8,mutual
tw_292632231,tw_439788025,8,mutual
tw_14348594,tw_15485441,8,mutual
tw_15365519,tw_3471,8,mutual
tw_155969606,tw_252185621,8,mutual
tw_164880154,tw_167112946,8,mutual
tw_287906361,tw_294854135,8,mutual
tw_13790282,tw_16243471,8,mutual
tw_14512689,tw_14573745,8,mutual
tw_128087229,tw_35726059,8,mutual
tw_131350078,tw_22705686,8,mutual
tw_16672159,tw_48492831,8,mutual
tw_252887163,tw_309822643,8,mutual
tw_21870651,tw_251757878,8,mutual
tw_297229855,tw_395029889,8,mutual
tw_119144784,tw_175431001,8,mutual
tw_15258562,tw_33043297,8,mutual
tw_17581754,tw_34428380,8,mutual
tw_127178017,tw_38070776,8,mutual
tw_128087229,tw_59916407,8,mutual
tw_17053,tw_17088729,8,mutual
tw_36823,tw_749963,8,mutual
tw_231893190,tw_59916407,8,mutual
tw_14575846,tw_248044499,8,mutual
tw_15582769,tw_18716999,8,mutual
tw_18755518,tw_98795912,8,mutual
tw_35718360,tw_6408382,8,mutual
tw_322822476,tw_43333520,8,mutual
tw_1899161,tw_9641832,8,mutual
tw_17794004,tw_2841151,8,mutual
tw_188702797,tw_338305835,8,mutual
tw_122381821,tw_16507692,8,mutual
tw_43920492,tw_63320588,8,mutual
tw_1608991,tw_296762498,8,mutual
tw_21556678,tw_43472595,8,mutual
tw_222221274,tw_90779436,8,mutual
tw_16895274,tw_19658826,8,mutual
tw_12741,tw_48903,8,mutual
tw_36999171,tw_66905823,8,mutual
tw_386232168,tw_66620040,8,mutual
tw_16193325,tw_7125992,8,mutual
tw_14414761,tw_8946022,8,mutual
tw_165436952,tw_204140367,8,mutual
tw_24641194,tw_275608958,8,mutual
tw_263458488,tw_66691804,8,mutual
tw_36198161,tw_60725654,8,mutual
tw_14848513,tw_16580226,8,mutual
tw_169979375,tw_89014429,8,mutual
tw_69671186,tw_7115872,8,mutual
tw_15670515,tw_55338862,8,mutual
tw_114832528,tw_221752062,8,mutual
tw_25520396,tw_76624568,8,mutual
tw_393543834,tw_494852324,8,mutual
tw_18720595,tw_9212052,8,mutual
tw_21602564,tw_83857172,8,mutual
tw_30211023,tw_76027335,8,mutual
tw_257509205,tw_64926647,8,mutual
tw_153226312,tw_430182387,8,mutual
tw_767396,tw_972651,8,mutual
tw_102608859,tw_31477674,8,mutual
tw_14865059,tw_15029953,8,mutual
tw_25339125,tw_43076364,8,mutual
tw_16129920,tw_7744592,8,mutual
tw_22721166,tw_35664799,8,mutual
tw_131029775,tw_150273565,8,mutual
tw_13229902,tw_2898611,8,mutual
tw_16134428,tw_23045297,8,mutual
tw_26250530,tw_270643477,8,mutual
tw_14666401,tw_209506790,8,mutual
tw_7888452,tw_824168,8,mutual
tw_16464746,tw_418351996,8,mutual
tw_35926608,tw_7875912,8,mutual
tw_145129229,tw_248883350,8,mutual
tw_12741,tw_3325171,8,mutual
tw_5410072,tw_80660928,8,mutual
tw_214968599,tw_279787626,8,mutual
tw_15861746,tw_25179560,8,mutual
tw_257509205,tw_48623391,8,mutual
tw_197881393,tw_281238535,8,mutual
tw_19136295,tw_290097288,8,mutual
tw_17116707,tw_86221475,8,mutual
tw_40580577,tw_94480069,8,mutual
tw_20207789,tw_22679419,8,mutual
tw_290929161,tw_379644023,8,mutual
tw_15532765,tw_24880749,8,mutual
tw_5162861,tw_657863,8,mutual
tw_168220987,tw_216001584,8,mutual
tw_137775682,tw_52695031,8,mutual
tw_1247691,tw_6608332,8,mutual
tw_15222083,tw_42070873,8,mutual
tw_14139971,tw_33423401,8,mutual
tw_38517589,tw_87764480,8,mutual
tw_166212191,tw_173958524,8,mutual
tw_17882881,tw_59018016,8,mutual
tw_160267464,tw_202387543,8,mutual
tw_227650565,tw_235973086,8,mutual
tw_286012612,tw_352721194,8,mutual
tw_15485915,tw_809760,8,mutual
tw_270449528,tw_43837009,8,mutual
tw_113058991,tw_160267464,8,mutual
tw_271658840,tw_307121607,8,mutual
tw_21681252,tw_36629388,8,mutual
tw_14112756,tw_15439395,8,mutual
tw_301529877,tw_395029889,8,mutual
tw_16809670,tw_16929559,8,mutual
tw_1422311,tw_55333704,8,mutual
tw_119228619,tw_7860742,8,mutual
tw_19647878,tw_85114893,8,mutual
tw_16098603,tw_17346342,8,mutual
tw_11348282,tw_14091091,8,mutual
tw_14983833,tw_18420291,8,mutual
tw_297358566,tw_309012614,8,mutual
tw_206713609,tw_28650455,8,mutual
tw_113058991,tw_155661154,8,mutual
tw_155763316,tw_227064424,8,mutual
tw_27716402,tw_67819221,8,mutual
tw_15222083,tw_15248360,8,mutual
tw_172883064,tw_83943787,8,mutual
tw_336141383,tw_439788025,8,mutual
tw_13229902,tw_65913144,8,mutual
tw_33952755,tw_4113261,8,mutual
tw_204317520,tw_315126921,8,mutual
tw_47658184,tw_83943787,8,mutual
tw_14589257,tw_17552077,8,mutual
tw_17143528,tw_36735522,8,mutual
tw_172542995,tw_27744721,8,mutual
tw_19102458,tw_36457353,8,mutual
tw_234018448,tw_389528105,8,mutual
tw_163203962,tw_360245938,8,mutual
tw_14217740,tw_26697947,8,mutual
tw_20,tw_61133,8,mutual
tw_21625307,tw_4071981,8,mutual
tw_169925750,tw_227064424,8,mutual
tw_666073,tw_849101,8,mutual
tw_14160974,tw_14609321,8,mutual
tw_111510305,tw_94325602,8,mutual
tw_153784150,tw_76786777,8,mutual
tw_110315478,tw_221537597,8,mutual
tw_18875718,tw_7194892,8,mutual
tw_24542441,tw_275550472,8,mutual
tw_221829166,tw_299293996,8,mutual
tw_21681252,tw_7702232,8,mutual
tw_15153,tw_18742918,8,mutual
tw_200212364,tw_272521291,8,mutual
tw_295,tw_586,8,mutual
tw_15290441,tw_28301551,8,mutual
tw_18156146,tw_40381496,8,mutual
tw_15102849,tw_15759202,8,mutual
tw_196667709,tw_222221274,8,mutual
tw_25421732,tw_28037700,8,mutual
tw_14935647,tw_3440721,8,mutual
tw_15642209,tw_2779821,8,mutual
tw_21549924,tw_371087884,8,mutual
tw_28735548,tw_287564504,8,mutual
tw_62593760,tw_7434902,8,mutual
tw_160008685,tw_23215572,8,mutual
tw_196400161,tw_521767788,8,mutual
tw_321096972,tw_349872060,8,mutual
tw_372316916,tw_855741,8,mutual
tw_155969606,tw_52361963,8,mutual
tw_18776017,tw_65913144,8,mutual
tw_175431001,tw_197504076,8,mutual
tw_22679419,tw_45593345,8,mutual
tw_11161852,tw_11197712,8,mutual
tw_21697900,tw_245897154,8,mutual
tw_211743260,tw_271697994,8,mutual
tw_25464811,tw_58025433,8,mutual
tw_25952851,tw_86852135,8,mutual
tw_170729553,tw_52405864,8,mutual
tw_20471349,tw_67818595,8,mutual
tw_272521291,tw_393242944,8,mutual
tw_11250,tw_60033,8,mutual
tw_14085070,tw_23962323,8,mutual
tw_18638800,tw_60273,8,mutual
tw_15006743,tw_74286565,8,mutual
tw_110541296,tw_9624742,8,mutual
tw_18149078,tw_30734523,8,mutual
tw_16243471,tw_16547369,8,mutual
tw_56002807,tw_72357609,8,mutual
tw_15485441,tw_15888142,8,mutual
tw_262952447,tw_92319025,8,mutual
tw_172887151,tw_33390855,8,mutual
tw_3296721,tw_96869096,8,mutual
tw_14498387,tw_43933017,8,mutual
tw_17116707,tw_440963134,8,mutual
tw_1586501,tw_817268,8,mutual
tw_49629418,tw_64488804,8,mutual
tw_5848412,tw_7861312,8,mutual
tw_176310143,tw_484813312,8,mutual
tw_113897988,tw_14506253,8,mutual
tw_156082710,tw_279787626,8,mutual
tw_104352067,tw_14145493,8,mutual
tw_25106800,tw_6206612,8,mutual
tw_106831987,tw_183786731,8,mutual
tw_221829166,tw_444929150,8,mutual
tw_370352650,tw_395873820,8,mutual
tw_11019092,tw_9411482,8,mutual
tw_307721313,tw_381754880,8,mutual
tw_13504092,tw_14199979,8,mutual
tw_5413042,tw_5906322,8,mutual
tw_335493841,tw_386064033,8,mutual
tw_101612292,tw_69085691,8,mutual
tw_139162440,tw_15398974,8,mutual
tw_10792712,tw_17037417,8,mutual
tw_18655633,tw_23822446,8,mutual
tw_145845459,tw_56860418,8,mutual
tw_301869137,tw_325116715,8,mutual
tw_15638249,tw_64488804,8,mutual
tw_14173097,tw_21755787,8,mutual
tw_15702621,tw_185699666,8,mutual
tw_15814666,tw_16372635,8,mutual
tw_3359851,tw_63787760,8,mutual
tw_163379277,tw_63253045,8,mutual
tw_221829166,tw_369283865,8,mutual
tw_137156454,tw_221005623,8,mutual
tw_755756,tw_972651,8,mutual
tw_139095342,tw_208132323,8,mutual
tw_42053731,tw_43318595,8,mutual
tw_131601987,tw_28482819,8,mutual
tw_238289569,tw_272570677,8,mutual
tw_288485704,tw_310424126,8,mutual
tw_238308325,tw_24125323,8,mutual
tw_32230901,tw_48118853,8,mutual
tw_23483324,tw_80617430,8,mutual
tw_18545755,tw_29480700,8,mutual
tw_16040961,tw_32630330,8,mutual
tw_258203336,tw_321189751,8,mutual
tw_338614678,tw_395026311,8,mutual
tw_14155927,tw_5410072,8,mutual
tw_16356796,tw_2729061,8,mutual
tw_119144784,tw_224309765,8,mutual
tw_14208982,tw_15519544,8,mutual
tw_18176640,tw_299442187,8,mutual
tw_181774753,tw_350978314,8,mutual
