person_id,twitter,farcaster,linkedin,debank,twitter_likes,twitter_comments,twitter_reposts,farcaster_recasts,farcaster_replies,linkedin_recommendations,linkedin_endorsements,debank_transactions,twitter_followers,farcaster_followers,linkedin_connections,debank_followers,last_interaction,interaction_score
tw_1000591,@user_1000591,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_100174502,@user_100174502,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_100301510,@user_100301510,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_100318079,@user_100318079,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_10032112,@user_10032112,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_100581193,@user_100581193,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_100614511,@user_100614511,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_100649666,@user_100649666,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_10078882,@user_10078882,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_100868651,@user_100868651,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_10090902,@user_10090902,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_10099582,@user_10099582,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_10101462,@user_10101462,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_10115042,@user_10115042,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_101204352,@user_101204352,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_101567635,@user_101567635,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_101612292,@user_101612292,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_101633415,@user_101633415,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_101859065,@user_101859065,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_10202,@user_10202,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_10206162,@user_10206162,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_102137866,@user_102137866,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_10228272,@user_10228272,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_10241,@user_10241,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_102510292,@user_102510292,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_102608859,@user_102608859,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_10273252,@user_10273252,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_10297,@user_10297,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_103130238,@user_103130238,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_10314702,@user_10314702,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_10350,@user_10350,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_1035491,@user_1035491,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_103598216,@user_103598216,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_103652294,@user_103652294,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_103661402,@user_103661402,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_10367,@user_10367,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_10367702,@user_10367702,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_103865085,@user_103865085,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_103946194,@user_103946194,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_103975904,@user_103975904,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_10400902,@user_10400902,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_104066691,@user_104066691,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_104155395,@user_104155395,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_104201057,@user_104201057,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_104209445,@user_104209445,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_104249727,@user_104249727,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_104288093,@user_104288093,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_104301012,@user_104301012,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_104352067,@user_104352067,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_104482820,@user_104482820,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_10450,@user_10450,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_10454572,@user_10454572,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_1045521,@user_1045521,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_104585489,@user_104585489,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_104618688,@user_104618688,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_1046661,@user_1046661,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_10481072,@user_10481072,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_105004950,@user_105004950,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_105035129,@user_105035129,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_105241998,@user_105241998,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_105251590,@user_105251590,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_105310392,@user_105310392,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_10545,@user_10545,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_105643923,@user_105643923,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_105880821,@user_105880821,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_105895378,@user_105895378,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_105940693,@user_105940693,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_106118793,@user_106118793,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_106514999,@user_106514999,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_1065921,@user_1065921,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_106607901,@user_106607901,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_106637102,@user_106637102,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_106638964,@user_106638964,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_10671602,@user_10671602,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_10680802,@user_10680802,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_106812177,@user_106812177,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
tw_106831987,@user_106831987,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
